,sentence #,rule #,text,corrected,ranking
89158,13027,6101.8,"Contrary to the court of appeals' reasoning, there- fore, the fact that a statute confers a right to invoke class or other collective procedures indicates the existence on- ly of a procedural right, which can be waived.","Contrary to the court of appeals' reasoning, there- fore, the fact that a statute confers a right to invoke class or other collective procedures conveys the existence on- ly of a procedural right, which can be waived.",3
89159,13028,6101.8,"Contrary to the court of appeals' reasoning, there- fore, the fact that a statute confers a right to invoke class or other collective procedures indicates the existence on- ly of a procedural right, which can be waived.","Contrary to the court of appeals' reasoning, there- fore, the fact that a statute confers a right to invoke class or other collective procedures reveals the existence on- ly of a procedural right, which can be waived.",3
89160,13029,6101.8,"Contrary to the court of appeals' reasoning, there- fore, the fact that a statute confers a right to invoke class or other collective procedures indicates the existence on- ly of a procedural right, which can be waived.","Contrary to the court of appeals' reasoning, there- fore, the fact that a statute confers a right to invoke class or other collective procedures suggests the existence on- ly of a procedural right, which can be waived.",3
89161,13030,6101.8,"Contrary to the court of appeals' reasoning, there- fore, the fact that a statute confers a right to invoke class or other collective procedures indicates the existence on- ly of a procedural right, which can be waived.","Contrary to the court of appeals' reasoning, there- fore, the fact that a statute confers a right to invoke class or other collective procedures specifies the existence on- ly of a procedural right, which can be waived.",3
89162,13031,6101.8,"Contrary to the court of appeals' reasoning, there- fore, the fact that a statute confers a right to invoke class or other collective procedures indicates the existence on- ly of a procedural right, which can be waived.","Contrary to the court of appeals' reasoning, there- fore, the fact that a statute confers a right to invoke class or other collective procedures says the existence on- ly of a procedural right, which can be waived.",4
89163,13032,6101.8,"Contrary to the court of appeals' reasoning, there- fore, the fact that a statute confers a right to invoke class or other collective procedures indicates the existence on- ly of a procedural right, which can be waived.","Contrary to the court of appeals' reasoning, there- fore, the fact that a statute confers a right to invoke class or other collective procedures shows the existence on- ly of a procedural right, which can be waived.",3
89164,13033,6101.8,"Contrary to the court of appeals' reasoning, there- fore, the fact that a statute confers a right to invoke class or other collective procedures indicates the existence on- ly of a procedural right, which can be waived.","Contrary to the court of appeals' reasoning, there- fore, the fact that a statute confers a right to invoke class or other collective procedures reflects the existence on- ly of a procedural right, which can be waived.",3
89165,13034,6101.8,"Contrary to the court of appeals' reasoning, there- fore, the fact that a statute confers a right to invoke class or other collective procedures indicates the existence on- ly of a procedural right, which can be waived.","Contrary to the court of appeals' reasoning, there- fore, the fact that a statute confers a right to invoke class or other collective procedures points to the existence on- ly of a procedural right, which can be waived.",3
89166,13035,6101.8,"Contrary to the court of appeals' reasoning, there- fore, the fact that a statute confers a right to invoke class or other collective procedures indicates the existence on- ly of a procedural right, which can be waived.","Contrary to the court of appeals' reasoning, there- fore, the fact that a statute confers a right to invoke class or other collective procedures confirms the existence on- ly of a procedural right, which can be waived.",3
89167,13036,6101.8,"Contrary to the court of appeals' reasoning, there- fore, the fact that a statute confers a right to invoke class or other collective procedures indicates the existence on- ly of a procedural right, which can be waived.","Contrary to the court of appeals' reasoning, there- fore, the fact that a statute confers a right to invoke class or other collective procedures signifies the existence on- ly of a procedural right, which can be waived.",3
89168,13037,6101.8,"Contrary to the court of appeals' reasoning, there- fore, the fact that a statute confers a right to invoke class or other collective procedures indicates the existence on- ly of a procedural right, which can be waived.","Contrary to the court of appeals' reasoning, there- fore, the fact that a statute confers a right to invoke class or other collective procedures flags the existence on- ly of a procedural right, which can be waived.",3
89169,13038,6101.8,"Contrary to the court of appeals' reasoning, there- fore, the fact that a statute confers a right to invoke class or other collective procedures indicates the existence on- ly of a procedural right, which can be waived.","Contrary to the court of appeals' reasoning, there- fore, the fact that a statute confers a right to invoke class or other collective procedures proves the existence on- ly of a procedural right, which can be waived.",3
89170,13039,6101.8,"Contrary to the court of appeals' reasoning, there- fore, the fact that a statute confers a right to invoke class or other collective procedures indicates the existence on- ly of a procedural right, which can be waived.","Contrary to the court of appeals' reasoning, there- fore, the fact that a statute confers a right to invoke class or other collective procedures shares the existence on- ly of a procedural right, which can be waived.","1 - The revision made the sentence less clear by changing ""indicates"" to ""shares"", which doesn't make sense in this context."
89171,13040,6101.8,"Contrary to the court of appeals' reasoning, there- fore, the fact that a statute confers a right to invoke class or other collective procedures indicates the existence on- ly of a procedural right, which can be waived.","Contrary to the court of appeals' reasoning, there- fore, the fact that a statute confers a right to invoke class or other collective procedures clarifies the existence on- ly of a procedural right, which can be waived.",5 - The revision is more concise and maintains the original meaning.
89172,13650,6101.8,"That notation indicated petitioner's good-faith belief that it had a claim-that is, a right to payment-regardlessof whether the right was ul­ timately enforceable.","That notation stated petitioner's good-faith belief that it had a claim-that is, a right to payment-regardlessof whether the right was ul­ timately enforceable.",3
89173,13651,6101.8,"That notation indicated petitioner's good-faith belief that it had a claim-that is, a right to payment-regardlessof whether the right was ul­ timately enforceable.","That notation conveyed petitioner's good-faith belief that it had a claim-that is, a right to payment-regardlessof whether the right was ul­ timately enforceable.",3
89174,13652,6101.8,"That notation indicated petitioner's good-faith belief that it had a claim-that is, a right to payment-regardlessof whether the right was ul­ timately enforceable.","That notation revealed petitioner's good-faith belief that it had a claim-that is, a right to payment-regardlessof whether the right was ul­ timately enforceable.",3
89175,13653,6101.8,"That notation indicated petitioner's good-faith belief that it had a claim-that is, a right to payment-regardlessof whether the right was ul­ timately enforceable.","That notation suggested petitioner's good-faith belief that it had a claim-that is, a right to payment-regardlessof whether the right was ul­ timately enforceable.",3
89176,13654,6101.8,"That notation indicated petitioner's good-faith belief that it had a claim-that is, a right to payment-regardlessof whether the right was ul­ timately enforceable.","That notation specified petitioner's good-faith belief that it had a claim-that is, a right to payment-regardlessof whether the right was ul­ timately enforceable.",3
89177,13655,6101.8,"That notation indicated petitioner's good-faith belief that it had a claim-that is, a right to payment-regardlessof whether the right was ul­ timately enforceable.","That notation said petitioner's good-faith belief that it had a claim-that is, a right to payment-regardlessof whether the right was ul­ timately enforceable.",3
89178,13656,6101.8,"That notation indicated petitioner's good-faith belief that it had a claim-that is, a right to payment-regardlessof whether the right was ul­ timately enforceable.","That notation showed petitioner's good-faith belief that it had a claim-that is, a right to payment-regardlessof whether the right was ul­ timately enforceable.",3
89179,13657,6101.8,"That notation indicated petitioner's good-faith belief that it had a claim-that is, a right to payment-regardlessof whether the right was ul­ timately enforceable.","That notation reflected petitioner's good-faith belief that it had a claim-that is, a right to payment-regardlessof whether the right was ul­ timately enforceable.",3
89180,13658,6101.8,"That notation indicated petitioner's good-faith belief that it had a claim-that is, a right to payment-regardlessof whether the right was ul­ timately enforceable.","That notation pointed to petitioner's good-faith belief that it had a claim-that is, a right to payment-regardlessof whether the right was ul­ timately enforceable.",3
89181,13659,6101.8,"That notation indicated petitioner's good-faith belief that it had a claim-that is, a right to payment-regardlessof whether the right was ul­ timately enforceable.","That notation confirmed petitioner's good-faith belief that it had a claim-that is, a right to payment-regardlessof whether the right was ul­ timately enforceable.",3
89182,13660,6101.8,"That notation indicated petitioner's good-faith belief that it had a claim-that is, a right to payment-regardlessof whether the right was ul­ timately enforceable.","That notation signified petitioner's good-faith belief that it had a claim-that is, a right to payment-regardlessof whether the right was ul­ timately enforceable.",3
89183,13661,6101.8,"That notation indicated petitioner's good-faith belief that it had a claim-that is, a right to payment-regardlessof whether the right was ul­ timately enforceable.","That notation flagged petitioner's good-faith belief that it had a claim-that is, a right to payment-regardlessof whether the right was ul­ timately enforceable.",3
89184,13662,6101.8,"That notation indicated petitioner's good-faith belief that it had a claim-that is, a right to payment-regardlessof whether the right was ul­ timately enforceable.","That notation proved petitioner's good-faith belief that it had a claim-that is, a right to payment-regardlessof whether the right was ul­ timately enforceable.",3
89185,13663,6101.8,"That notation indicated petitioner's good-faith belief that it had a claim-that is, a right to payment-regardlessof whether the right was ul­ timately enforceable.","That notation shared petitioner's good-faith belief that it had a claim-that is, a right to payment-regardlessof whether the right was ul­ timately enforceable.","1 - The revision changes the meaning of the sentence by implying that the notation is sharing a belief, rather than indicating it."
89186,13664,6101.8,"That notation indicated petitioner's good-faith belief that it had a claim-that is, a right to payment-regardlessof whether the right was ul­ timately enforceable.","That notation clarified petitioner's good-faith belief that it had a claim-that is, a right to payment-regardlessof whether the right was ul­ timately enforceable.",3
89187,13909,6101.8,"While the claim appeared to be time-barred, the record does not indicate whether there was some other reason that a limitations defense would not apply.","While the claim appeared to be time-barred, the record does not state whether there was some other reason that a limitations defense would not apply.",3
89188,13910,6101.8,"While the claim appeared to be time-barred, the record does not indicate whether there was some other reason that a limitations defense would not apply.","While the claim appeared to be time-barred, the record does not convey whether there was some other reason that a limitations defense would not apply.",3
89189,13911,6101.8,"While the claim appeared to be time-barred, the record does not indicate whether there was some other reason that a limitations defense would not apply.","While the claim appeared to be time-barred, the record does not reveal whether there was some other reason that a limitations defense would not apply.",3
89190,13912,6101.8,"While the claim appeared to be time-barred, the record does not indicate whether there was some other reason that a limitations defense would not apply.","While the claim appeared to be time-barred, the record does not suggest whether there was some other reason that a limitations defense would not apply.",3
89191,13913,6101.8,"While the claim appeared to be time-barred, the record does not indicate whether there was some other reason that a limitations defense would not apply.","While the claim appeared to be time-barred, the record does not specify whether there was some other reason that a limitations defense would not apply.",3
89192,13914,6101.8,"While the claim appeared to be time-barred, the record does not indicate whether there was some other reason that a limitations defense would not apply.","While the claim appeared to be time-barred, the record does not say whether there was some other reason that a limitations defense would not apply.",3
89193,13915,6101.8,"While the claim appeared to be time-barred, the record does not indicate whether there was some other reason that a limitations defense would not apply.","While the claim appeared to be time-barred, the record does not show whether there was some other reason that a limitations defense would not apply.",3
89194,13916,6101.8,"While the claim appeared to be time-barred, the record does not indicate whether there was some other reason that a limitations defense would not apply.","While the claim appeared to be time-barred, the record does not reflect whether there was some other reason that a limitations defense would not apply.",3
89195,13917,6101.8,"While the claim appeared to be time-barred, the record does not indicate whether there was some other reason that a limitations defense would not apply.","While the claim appeared to be time-barred, the record does not point to whether there was some other reason that a limitations defense would not apply.",3
89196,13918,6101.8,"While the claim appeared to be time-barred, the record does not indicate whether there was some other reason that a limitations defense would not apply.","While the claim appeared to be time-barred, the record does not confirm whether there was some other reason that a limitations defense would not apply.",3
89197,13919,6101.8,"While the claim appeared to be time-barred, the record does not indicate whether there was some other reason that a limitations defense would not apply.","While the claim appeared to be time-barred, the record does not signify whether there was some other reason that a limitations defense would not apply.",3
89198,13920,6101.8,"While the claim appeared to be time-barred, the record does not indicate whether there was some other reason that a limitations defense would not apply.","While the claim appeared to be time-barred, the record does not flag whether there was some other reason that a limitations defense would not apply.",3
89199,13921,6101.8,"While the claim appeared to be time-barred, the record does not indicate whether there was some other reason that a limitations defense would not apply.","While the claim appeared to be time-barred, the record does not prove whether there was some other reason that a limitations defense would not apply.",3
89200,13922,6101.8,"While the claim appeared to be time-barred, the record does not indicate whether there was some other reason that a limitations defense would not apply.","While the claim appeared to be time-barred, the record does not share whether there was some other reason that a limitations defense would not apply.",3
89201,13923,6101.8,"While the claim appeared to be time-barred, the record does not indicate whether there was some other reason that a limitations defense would not apply.","While the claim appeared to be time-barred, the record does not clarify whether there was some other reason that a limitations defense would not apply.",3
89202,14711,6101.8,"Nothing about that reference, or anything else in the Dodd-Frank Act's anti- retaliation provision, indicates an affirmative intention to sweep in lawyers or auditors.5","Nothing about that reference, or anything else in the Dodd-Frank Act's anti- retaliation provision, states an affirmative intention to sweep in lawyers or auditors.5",3
89203,14712,6101.8,"Nothing about that reference, or anything else in the Dodd-Frank Act's anti- retaliation provision, indicates an affirmative intention to sweep in lawyers or auditors.5","Nothing about that reference, or anything else in the Dodd-Frank Act's anti- retaliation provision, conveys an affirmative intention to sweep in lawyers or auditors.5",3
89204,14713,6101.8,"Nothing about that reference, or anything else in the Dodd-Frank Act's anti- retaliation provision, indicates an affirmative intention to sweep in lawyers or auditors.5","Nothing about that reference, or anything else in the Dodd-Frank Act's anti- retaliation provision, reveals an affirmative intention to sweep in lawyers or auditors.5",3
89205,14714,6101.8,"Nothing about that reference, or anything else in the Dodd-Frank Act's anti- retaliation provision, indicates an affirmative intention to sweep in lawyers or auditors.5","Nothing about that reference, or anything else in the Dodd-Frank Act's anti- retaliation provision, suggests an affirmative intention to sweep in lawyers or auditors.5",3
89206,14715,6101.8,"Nothing about that reference, or anything else in the Dodd-Frank Act's anti- retaliation provision, indicates an affirmative intention to sweep in lawyers or auditors.5","Nothing about that reference, or anything else in the Dodd-Frank Act's anti- retaliation provision, specifies an affirmative intention to sweep in lawyers or auditors.5",3
89207,14716,6101.8,"Nothing about that reference, or anything else in the Dodd-Frank Act's anti- retaliation provision, indicates an affirmative intention to sweep in lawyers or auditors.5","Nothing about that reference, or anything else in the Dodd-Frank Act's anti- retaliation provision, says an affirmative intention to sweep in lawyers or auditors.5",3
89208,14717,6101.8,"Nothing about that reference, or anything else in the Dodd-Frank Act's anti- retaliation provision, indicates an affirmative intention to sweep in lawyers or auditors.5","Nothing about that reference, or anything else in the Dodd-Frank Act's anti- retaliation provision, shows an affirmative intention to sweep in lawyers or auditors.5",3
89209,14718,6101.8,"Nothing about that reference, or anything else in the Dodd-Frank Act's anti- retaliation provision, indicates an affirmative intention to sweep in lawyers or auditors.5","Nothing about that reference, or anything else in the Dodd-Frank Act's anti- retaliation provision, reflects an affirmative intention to sweep in lawyers or auditors.5",3
89210,14719,6101.8,"Nothing about that reference, or anything else in the Dodd-Frank Act's anti- retaliation provision, indicates an affirmative intention to sweep in lawyers or auditors.5","Nothing about that reference, or anything else in the Dodd-Frank Act's anti- retaliation provision, points to an affirmative intention to sweep in lawyers or auditors.5",3
89211,14720,6101.8,"Nothing about that reference, or anything else in the Dodd-Frank Act's anti- retaliation provision, indicates an affirmative intention to sweep in lawyers or auditors.5","Nothing about that reference, or anything else in the Dodd-Frank Act's anti- retaliation provision, confirms an affirmative intention to sweep in lawyers or auditors.5",3
89212,14721,6101.8,"Nothing about that reference, or anything else in the Dodd-Frank Act's anti- retaliation provision, indicates an affirmative intention to sweep in lawyers or auditors.5","Nothing about that reference, or anything else in the Dodd-Frank Act's anti- retaliation provision, signifies an affirmative intention to sweep in lawyers or auditors.5",3
89213,14722,6101.8,"Nothing about that reference, or anything else in the Dodd-Frank Act's anti- retaliation provision, indicates an affirmative intention to sweep in lawyers or auditors.5","Nothing about that reference, or anything else in the Dodd-Frank Act's anti- retaliation provision, flags an affirmative intention to sweep in lawyers or auditors.5",3
89214,14723,6101.8,"Nothing about that reference, or anything else in the Dodd-Frank Act's anti- retaliation provision, indicates an affirmative intention to sweep in lawyers or auditors.5","Nothing about that reference, or anything else in the Dodd-Frank Act's anti- retaliation provision, proves an affirmative intention to sweep in lawyers or auditors.5",3
89215,14724,6101.8,"Nothing about that reference, or anything else in the Dodd-Frank Act's anti- retaliation provision, indicates an affirmative intention to sweep in lawyers or auditors.5","Nothing about that reference, or anything else in the Dodd-Frank Act's anti- retaliation provision, shares an affirmative intention to sweep in lawyers or auditors.5",3
89216,14725,6101.8,"Nothing about that reference, or anything else in the Dodd-Frank Act's anti- retaliation provision, indicates an affirmative intention to sweep in lawyers or auditors.5","Nothing about that reference, or anything else in the Dodd-Frank Act's anti- retaliation provision, clarifies an affirmative intention to sweep in lawyers or auditors.5",3
89217,16291,6101.8,"While the government correctly notes that Mr. Norris indicated he was willing to go higher after Mr. Litvak said he was ""using"" Mr. Norris's price, see U.S. Br. 30, that statement was irrelevant to the negotiation that ensued: Mr. Litvak sold Mr. Norris the bond Invesco wanted for the price Mr. Norris expected to pay based on his initial bid, rather than pushing for a higher price given Mr. Norris's suggestion that a higher bid would be acceptable.","While the government correctly notes that Mr. Norris stated he was willing to go higher after Mr. Litvak said he was ""using"" Mr. Norris's price, see U.S. Br. 30, that statement was irrelevant to the negotiation that ensued: Mr. Litvak sold Mr. Norris the bond Invesco wanted for the price Mr. Norris expected to pay based on his initial bid, rather than pushing for a higher price given Mr. Norris's suggestion that a higher bid would be acceptable.",3
89218,16292,6101.8,"While the government correctly notes that Mr. Norris indicated he was willing to go higher after Mr. Litvak said he was ""using"" Mr. Norris's price, see U.S. Br. 30, that statement was irrelevant to the negotiation that ensued: Mr. Litvak sold Mr. Norris the bond Invesco wanted for the price Mr. Norris expected to pay based on his initial bid, rather than pushing for a higher price given Mr. Norris's suggestion that a higher bid would be acceptable.","While the government correctly notes that Mr. Norris conveyed he was willing to go higher after Mr. Litvak said he was ""using"" Mr. Norris's price, see U.S. Br. 30, that statement was irrelevant to the negotiation that ensued: Mr. Litvak sold Mr. Norris the bond Invesco wanted for the price Mr. Norris expected to pay based on his initial bid, rather than pushing for a higher price given Mr. Norris's suggestion that a higher bid would be acceptable.",3
89219,16293,6101.8,"While the government correctly notes that Mr. Norris indicated he was willing to go higher after Mr. Litvak said he was ""using"" Mr. Norris's price, see U.S. Br. 30, that statement was irrelevant to the negotiation that ensued: Mr. Litvak sold Mr. Norris the bond Invesco wanted for the price Mr. Norris expected to pay based on his initial bid, rather than pushing for a higher price given Mr. Norris's suggestion that a higher bid would be acceptable.","While the government correctly notes that Mr. Norris revealed he was willing to go higher after Mr. Litvak said he was ""using"" Mr. Norris's price, see U.S. Br. 30, that statement was irrelevant to the negotiation that ensued: Mr. Litvak sold Mr. Norris the bond Invesco wanted for the price Mr. Norris expected to pay based on his initial bid, rather than pushing for a higher price given Mr. Norris's suggestion that a higher bid would be acceptable.",3
89220,16294,6101.8,"While the government correctly notes that Mr. Norris indicated he was willing to go higher after Mr. Litvak said he was ""using"" Mr. Norris's price, see U.S. Br. 30, that statement was irrelevant to the negotiation that ensued: Mr. Litvak sold Mr. Norris the bond Invesco wanted for the price Mr. Norris expected to pay based on his initial bid, rather than pushing for a higher price given Mr. Norris's suggestion that a higher bid would be acceptable.","While the government correctly notes that Mr. Norris suggested he was willing to go higher after Mr. Litvak said he was ""using"" Mr. Norris's price, see U.S. Br. 30, that statement was irrelevant to the negotiation that ensued: Mr. Litvak sold Mr. Norris the bond Invesco wanted for the price Mr. Norris expected to pay based on his initial bid, rather than pushing for a higher price given Mr. Norris's suggestion that a higher bid would be acceptable.",3
89221,16295,6101.8,"While the government correctly notes that Mr. Norris indicated he was willing to go higher after Mr. Litvak said he was ""using"" Mr. Norris's price, see U.S. Br. 30, that statement was irrelevant to the negotiation that ensued: Mr. Litvak sold Mr. Norris the bond Invesco wanted for the price Mr. Norris expected to pay based on his initial bid, rather than pushing for a higher price given Mr. Norris's suggestion that a higher bid would be acceptable.","While the government correctly notes that Mr. Norris specified he was willing to go higher after Mr. Litvak said he was ""using"" Mr. Norris's price, see U.S. Br. 30, that statement was irrelevant to the negotiation that ensued: Mr. Litvak sold Mr. Norris the bond Invesco wanted for the price Mr. Norris expected to pay based on his initial bid, rather than pushing for a higher price given Mr. Norris's suggestion that a higher bid would be acceptable.",3
89222,16296,6101.8,"While the government correctly notes that Mr. Norris indicated he was willing to go higher after Mr. Litvak said he was ""using"" Mr. Norris's price, see U.S. Br. 30, that statement was irrelevant to the negotiation that ensued: Mr. Litvak sold Mr. Norris the bond Invesco wanted for the price Mr. Norris expected to pay based on his initial bid, rather than pushing for a higher price given Mr. Norris's suggestion that a higher bid would be acceptable.","While the government correctly notes that Mr. Norris said he was willing to go higher after Mr. Litvak said he was ""using"" Mr. Norris's price, see U.S. Br. 30, that statement was irrelevant to the negotiation that ensued: Mr. Litvak sold Mr. Norris the bond Invesco wanted for the price Mr. Norris expected to pay based on his initial bid, rather than pushing for a higher price given Mr. Norris's suggestion that a higher bid would be acceptable.",3
89223,16297,6101.8,"While the government correctly notes that Mr. Norris indicated he was willing to go higher after Mr. Litvak said he was ""using"" Mr. Norris's price, see U.S. Br. 30, that statement was irrelevant to the negotiation that ensued: Mr. Litvak sold Mr. Norris the bond Invesco wanted for the price Mr. Norris expected to pay based on his initial bid, rather than pushing for a higher price given Mr. Norris's suggestion that a higher bid would be acceptable.","While the government correctly notes that Mr. Norris showed he was willing to go higher after Mr. Litvak said he was ""using"" Mr. Norris's price, see U.S. Br. 30, that statement was irrelevant to the negotiation that ensued: Mr. Litvak sold Mr. Norris the bond Invesco wanted for the price Mr. Norris expected to pay based on his initial bid, rather than pushing for a higher price given Mr. Norris's suggestion that a higher bid would be acceptable.",3
89224,16298,6101.8,"While the government correctly notes that Mr. Norris indicated he was willing to go higher after Mr. Litvak said he was ""using"" Mr. Norris's price, see U.S. Br. 30, that statement was irrelevant to the negotiation that ensued: Mr. Litvak sold Mr. Norris the bond Invesco wanted for the price Mr. Norris expected to pay based on his initial bid, rather than pushing for a higher price given Mr. Norris's suggestion that a higher bid would be acceptable.","While the government correctly notes that Mr. Norris shown he was willing to go higher after Mr. Litvak said he was ""using"" Mr. Norris's price, see U.S. Br. 30, that statement was irrelevant to the negotiation that ensued: Mr. Litvak sold Mr. Norris the bond Invesco wanted for the price Mr. Norris expected to pay based on his initial bid, rather than pushing for a higher price given Mr. Norris's suggestion that a higher bid would be acceptable.","1 - The revision made the sentence less clear by changing ""indicated"" to ""shown,"" which is grammatically incorrect in this context."
89225,16299,6101.8,"While the government correctly notes that Mr. Norris indicated he was willing to go higher after Mr. Litvak said he was ""using"" Mr. Norris's price, see U.S. Br. 30, that statement was irrelevant to the negotiation that ensued: Mr. Litvak sold Mr. Norris the bond Invesco wanted for the price Mr. Norris expected to pay based on his initial bid, rather than pushing for a higher price given Mr. Norris's suggestion that a higher bid would be acceptable.","While the government correctly notes that Mr. Norris reflected he was willing to go higher after Mr. Litvak said he was ""using"" Mr. Norris's price, see U.S. Br. 30, that statement was irrelevant to the negotiation that ensued: Mr. Litvak sold Mr. Norris the bond Invesco wanted for the price Mr. Norris expected to pay based on his initial bid, rather than pushing for a higher price given Mr. Norris's suggestion that a higher bid would be acceptable.",3
89226,16300,6101.8,"While the government correctly notes that Mr. Norris indicated he was willing to go higher after Mr. Litvak said he was ""using"" Mr. Norris's price, see U.S. Br. 30, that statement was irrelevant to the negotiation that ensued: Mr. Litvak sold Mr. Norris the bond Invesco wanted for the price Mr. Norris expected to pay based on his initial bid, rather than pushing for a higher price given Mr. Norris's suggestion that a higher bid would be acceptable.","While the government correctly notes that Mr. Norris pointed to he was willing to go higher after Mr. Litvak said he was ""using"" Mr. Norris's price, see U.S. Br. 30, that statement was irrelevant to the negotiation that ensued: Mr. Litvak sold Mr. Norris the bond Invesco wanted for the price Mr. Norris expected to pay based on his initial bid, rather than pushing for a higher price given Mr. Norris's suggestion that a higher bid would be acceptable.","1 - The revision made the sentence less clear by changing ""indicated"" to ""pointed to,"" which is less precise in this context."
89227,16301,6101.8,"While the government correctly notes that Mr. Norris indicated he was willing to go higher after Mr. Litvak said he was ""using"" Mr. Norris's price, see U.S. Br. 30, that statement was irrelevant to the negotiation that ensued: Mr. Litvak sold Mr. Norris the bond Invesco wanted for the price Mr. Norris expected to pay based on his initial bid, rather than pushing for a higher price given Mr. Norris's suggestion that a higher bid would be acceptable.","While the government correctly notes that Mr. Norris confirmed he was willing to go higher after Mr. Litvak said he was ""using"" Mr. Norris's price, see U.S. Br. 30, that statement was irrelevant to the negotiation that ensued: Mr. Litvak sold Mr. Norris the bond Invesco wanted for the price Mr. Norris expected to pay based on his initial bid, rather than pushing for a higher price given Mr. Norris's suggestion that a higher bid would be acceptable.",3
89228,16302,6101.8,"While the government correctly notes that Mr. Norris indicated he was willing to go higher after Mr. Litvak said he was ""using"" Mr. Norris's price, see U.S. Br. 30, that statement was irrelevant to the negotiation that ensued: Mr. Litvak sold Mr. Norris the bond Invesco wanted for the price Mr. Norris expected to pay based on his initial bid, rather than pushing for a higher price given Mr. Norris's suggestion that a higher bid would be acceptable.","While the government correctly notes that Mr. Norris signified he was willing to go higher after Mr. Litvak said he was ""using"" Mr. Norris's price, see U.S. Br. 30, that statement was irrelevant to the negotiation that ensued: Mr. Litvak sold Mr. Norris the bond Invesco wanted for the price Mr. Norris expected to pay based on his initial bid, rather than pushing for a higher price given Mr. Norris's suggestion that a higher bid would be acceptable.",3
89229,16303,6101.8,"While the government correctly notes that Mr. Norris indicated he was willing to go higher after Mr. Litvak said he was ""using"" Mr. Norris's price, see U.S. Br. 30, that statement was irrelevant to the negotiation that ensued: Mr. Litvak sold Mr. Norris the bond Invesco wanted for the price Mr. Norris expected to pay based on his initial bid, rather than pushing for a higher price given Mr. Norris's suggestion that a higher bid would be acceptable.","While the government correctly notes that Mr. Norris flagged he was willing to go higher after Mr. Litvak said he was ""using"" Mr. Norris's price, see U.S. Br. 30, that statement was irrelevant to the negotiation that ensued: Mr. Litvak sold Mr. Norris the bond Invesco wanted for the price Mr. Norris expected to pay based on his initial bid, rather than pushing for a higher price given Mr. Norris's suggestion that a higher bid would be acceptable.",3
89230,16304,6101.8,"While the government correctly notes that Mr. Norris indicated he was willing to go higher after Mr. Litvak said he was ""using"" Mr. Norris's price, see U.S. Br. 30, that statement was irrelevant to the negotiation that ensued: Mr. Litvak sold Mr. Norris the bond Invesco wanted for the price Mr. Norris expected to pay based on his initial bid, rather than pushing for a higher price given Mr. Norris's suggestion that a higher bid would be acceptable.","While the government correctly notes that Mr. Norris proved he was willing to go higher after Mr. Litvak said he was ""using"" Mr. Norris's price, see U.S. Br. 30, that statement was irrelevant to the negotiation that ensued: Mr. Litvak sold Mr. Norris the bond Invesco wanted for the price Mr. Norris expected to pay based on his initial bid, rather than pushing for a higher price given Mr. Norris's suggestion that a higher bid would be acceptable.",3
89231,16305,6101.8,"While the government correctly notes that Mr. Norris indicated he was willing to go higher after Mr. Litvak said he was ""using"" Mr. Norris's price, see U.S. Br. 30, that statement was irrelevant to the negotiation that ensued: Mr. Litvak sold Mr. Norris the bond Invesco wanted for the price Mr. Norris expected to pay based on his initial bid, rather than pushing for a higher price given Mr. Norris's suggestion that a higher bid would be acceptable.","While the government correctly notes that Mr. Norris proven he was willing to go higher after Mr. Litvak said he was ""using"" Mr. Norris's price, see U.S. Br. 30, that statement was irrelevant to the negotiation that ensued: Mr. Litvak sold Mr. Norris the bond Invesco wanted for the price Mr. Norris expected to pay based on his initial bid, rather than pushing for a higher price given Mr. Norris's suggestion that a higher bid would be acceptable.","1 - The revision made the original sentence less clear by changing ""indicated"" to ""proven,"" which alters the meaning and makes it less accurate."
89232,16306,6101.8,"While the government correctly notes that Mr. Norris indicated he was willing to go higher after Mr. Litvak said he was ""using"" Mr. Norris's price, see U.S. Br. 30, that statement was irrelevant to the negotiation that ensued: Mr. Litvak sold Mr. Norris the bond Invesco wanted for the price Mr. Norris expected to pay based on his initial bid, rather than pushing for a higher price given Mr. Norris's suggestion that a higher bid would be acceptable.","While the government correctly notes that Mr. Norris shared he was willing to go higher after Mr. Litvak said he was ""using"" Mr. Norris's price, see U.S. Br. 30, that statement was irrelevant to the negotiation that ensued: Mr. Litvak sold Mr. Norris the bond Invesco wanted for the price Mr. Norris expected to pay based on his initial bid, rather than pushing for a higher price given Mr. Norris's suggestion that a higher bid would be acceptable.",3
89233,16307,6101.8,"While the government correctly notes that Mr. Norris indicated he was willing to go higher after Mr. Litvak said he was ""using"" Mr. Norris's price, see U.S. Br. 30, that statement was irrelevant to the negotiation that ensued: Mr. Litvak sold Mr. Norris the bond Invesco wanted for the price Mr. Norris expected to pay based on his initial bid, rather than pushing for a higher price given Mr. Norris's suggestion that a higher bid would be acceptable.","While the government correctly notes that Mr. Norris clarified he was willing to go higher after Mr. Litvak said he was ""using"" Mr. Norris's price, see U.S. Br. 30, that statement was irrelevant to the negotiation that ensued: Mr. Litvak sold Mr. Norris the bond Invesco wanted for the price Mr. Norris expected to pay based on his initial bid, rather than pushing for a higher price given Mr. Norris's suggestion that a higher bid would be acceptable.",3
89234,16323,6101.8,But only two of those citations actually indicate a counter- party's belief in the misstatement regarding Jefferies' acquisition cost.,But only two of those citations actually state a counter- party's belief in the misstatement regarding Jefferies' acquisition cost.,3
